"","x"
"833","ENSG00000166589"
"834","ENSG00000079112"
"835","ENSG00000145526"
"836","ENSG00000123374"
"837","ENSG00000250506"
"838","ENSG00000135446"
"839","ENSG00000164885"
"840","ENSG00000105810"
"841","ENSG00000134058"
"842","ENSG00000277273"
"843","ENSG00000132964"
"844","ENSG00000136807"
"845","ENSG00000124762"
"846","ENSG00000111276"
"847","ENSG00000129757"
"848","ENSG00000273707"
"849","ENSG00000147889"
"850","ENSG00000147883"
"851","ENSG00000123080"
"852","ENSG00000129355"
"853","ENSG00000100526"
"854","ENSG00000129596"
"855","ENSG00000140743"
"856","ENSG00000163624"
"857","ENSG00000204539"
"858","ENSG00000237114"
"859","ENSG00000237165"
"860","ENSG00000137197"
"861","ENSG00000237123"
"862","ENSG00000206460"
"863","ENSG00000169442"
"864","ENSG00000113722"
"865","ENSG00000165556"
"866","ENSG00000131264"
"867","ENSG00000153132"
"868","ENSG00000105388"
"869","ENSG00000245848"
"870","ENSG00000172216"
"871","ENSG00000221869"
"872","ENSG00000092067"
"873","ENSG00000153879"
"874","ENSG00000170835"
"875","ENSG00000170827"
"876","ENSG00000115163"
"877","ENSG00000125817"
"878","ENSG00000145241"
"879","ENSG00000226982"
"880","ENSG00000138778"
"881","ENSG00000117724"
"882","ENSG00000198848"
"883","ENSG00000262243"
"884","ENSG00000177143"
"885","ENSG00000147400"
"886","ENSG00000292191"
"887","ENSG00000153140"
"888","ENSG00000087237"
"889","ENSG00000172757"
"890","ENSG00000165410"
"891","ENSG00000109861"
"892","ENSG00000001626"
"893","ENSG00000135346"
"894","ENSG00000104827"
"895","ENSG00000170956"
"896","ENSG00000007306"
"897","ENSG00000280501"
"898","ENSG00000124469"
"899","ENSG00000105352"
"900","ENSG00000274131"
"901","ENSG00000233681"
"902","ENSG00000227349"
"903","ENSG00000230529"
"904","ENSG00000241104"
"905","ENSG00000136457"
"906","ENSG00000136161"
"907","ENSG00000070748"
"908","ENSG00000180198"
"909","ENSG00000153922"
"910","ENSG00000173575"
"911","ENSG00000170004"
"912","ENSG00000111642"
"913","ENSG00000198610"
"914","ENSG00000149554"
"915","ENSG00000053254"
"916","ENSG00000100604"
"917","ENSG00000276781"
"918","ENSG00000089199"
"919","ENSG00000133048"
"920","ENSG00000064886"
"921","ENSG00000133063"
"922","ENSG00000110721"
"923","ENSG00000100288"
"924","ENSG00000188419"
"925","ENSG00000203668"
"926","ENSG00000128656"
"927","ENSG00000106069"
"928","ENSG00000168539"
"929","ENSG00000181072"
"930","ENSG00000143669"
"931","ENSG00000133019"
"932","ENSG00000180720"
"933","ENSG00000184984"
"934","ENSG00000138435"
"935","ENSG00000120903"
"936","ENSG00000080644"
"937","ENSG00000101204"
"938","ENSG00000169684"
"939","ENSG00000175344"
"940","ENSG00000274542"
"941","ENSG00000282088"
"942","ENSG00000170175"
"943","ENSG00000283946"
"944","ENSG00000160716"
"945","ENSG00000147432"
"946","ENSG00000117971"
"947","ENSG00000135902"
"948","ENSG00000108556"
"949","ENSG00000196811"
"950","ENSG00000213341"
"951","ENSG00000176194"
"952","ENSG00000166165"
"953","ENSG00000099622"
"954","ENSG00000114737"
"955","ENSG00000105254"
"956","ENSG00000104879"
